task,ECFP_ROC,GCN_ROC,ECFP_PR,GCN_PR
NR-AR,0.6946252465483235,0.6686883629191321,0.39973114756507194,0.336219172760228
NR-AR-LBD,0.7364600781686208,0.7519342745473399,0.3257922922994995,0.3214982537879854
NR-AhR,0.816657027183343,0.7919156866525289,0.4878377381735041,0.4527027160404584
NR-Aromatase,0.719567354965585,0.7032448377581121,0.2101924307093949,0.22066912020563711
NR-ER,0.6141787920025124,0.626609442060086,0.32544667845419994,0.2632719381292852
NR-ER-LBD,0.7221868365180467,0.7247346072186835,0.2791159550174527,0.16386881969084907
NR-PPAR-gamma,0.6754088785046729,0.7533878504672897,0.2610811614722617,0.16872526704123486
SR-ARE,0.7174002680136069,0.7044634573755283,0.4204807622859239,0.3910224668236832
SR-ATAD5,0.7145444754491604,0.7514564057375043,0.194882317534935,0.12163950040997472
SR-HSE,0.689333698930628,0.7057398775249063,0.21524004055758456,0.25953568816168326
SR-MMP,0.7630743525480368,0.7662012173290369,0.5149183866280406,0.475191458403882
SR-p53,0.6414260158446206,0.7165857398415539,0.20330440787761028,0.22655822506600695
MEAN,0.7087385853897631,0.7220801466193084,0.31983527654795657,0.2834085522100757
