task,n,n_pos,roc_auc,pr_auc,f1
NR-AR,706,30,0.6946252465483235,0.39973114756507194,0.15458937198067632
NR-AR-LBD,618,21,0.7364600781686208,0.3257922922994995,0.21052631578947367
NR-AhR,604,91,0.816657027183343,0.4878377381735041,0.4273972602739726
NR-Aromatase,497,45,0.719567354965585,0.2101924307093949,0.27074235807860264
NR-ER,548,82,0.6141787920025124,0.32544667845419994,0.28668941979522183
NR-ER-LBD,658,30,0.7221868365180467,0.2791159550174527,0.1935483870967742
NR-PPAR-gamma,567,32,0.6754088785046729,0.2610811614722617,0.16597510373443983
SR-ARE,465,109,0.7174002680136069,0.4204807622859239,0.45414847161572053
SR-ATAD5,652,33,0.7145444754491604,0.194882317534935,0.17054263565891473
SR-HSE,563,42,0.689333698930628,0.21524004055758456,0.2894736842105263
SR-MMP,504,105,0.7630743525480368,0.5149183866280406,0.48344370860927155
SR-p53,629,70,0.6414260158446206,0.20330440787761028,0.2724252491694352
