task,n,n_pos,roc_auc,pr_auc,f1
NR-AR,706,30,0.6686883629191321,0.336219172760228,0.13229571984435798
NR-AR-LBD,618,21,0.7519342745473399,0.3214982537879854,0.15476190476190477
NR-AhR,604,91,0.7919156866525289,0.4527027160404584,0.4161849710982659
NR-Aromatase,497,45,0.7032448377581121,0.22066912020563711,0.2364217252396166
NR-ER,548,82,0.626609442060086,0.2632719381292852,0.3161290322580645
NR-ER-LBD,658,30,0.7247346072186835,0.16386881969084907,0.16494845360824742
NR-PPAR-gamma,567,32,0.7533878504672897,0.16872526704123486,0.2268041237113402
SR-ARE,465,109,0.7044634573755283,0.3910224668236832,0.463768115942029
SR-ATAD5,652,33,0.7514564057375043,0.12163950040997472,0.17142857142857143
SR-HSE,563,42,0.7057398775249063,0.25953568816168326,0.23809523809523808
SR-MMP,504,105,0.7662012173290369,0.475191458403882,0.5232974910394266
SR-p53,629,70,0.7165857398415539,0.22655822506600695,0.29201101928374656
